CODIGO,NOMBRE,CREDITOS,TIPO,CREDITOS_MINIMOS_APROBADOS,CORRELATIVAS
7142,CIRCUITOS DE INFORMACION EN LA EMPRESA,4,ELECTIVA,0,7146
7144,RECURSOS HUMANOS,4,ELECTIVA,140,
7146,INGENIERIA ECONOMICA,6,ELECTIVA,0,7113
7514,LENGUAJES FORMALES,6,ELECTIVA,0,6109
7516,LENGUAJES DE PROGRAMACION,6,ELECTIVA,0,7514
7526,SIMULACION,6,ELECTIVA,0,6109
7529,TEORIA DE ALGORITMOS I,6,ELECTIVA,0,6107-7541
7530,TEORIA DE ALGORITMOS II,6,ELECTIVA,0,7529
7531,TEORIA DEL LENGUAJE,4,ELECTIVA,0,7541
7538,ANALISIS NUMERICO II A,6,ELECTIVA,0,7552
7550,INTRODUCCION A LOS SISTEMAS INTELIGENTES,6,ELECTIVA,0,6109-7114
7551,TECNICAS DE PRODUCCION DE SOFTWARE I,4,ELECTIVA,0,7515-7552
7553,TECNICAS DE PRODUCCION DE SOFTWARE II,4,ELECTIVA,0,7551
7554,TECNICAS DE PRODUCCION DE SOFTWARE III,4,ELECTIVA,0,7548-7553
7555,TALLER DE DESARROLLO DE PROYECTOS III,4,ELECTIVA,0,7546-7547-7548
7556,ORGANIZACION DE LA IMPLANTACION Y EL MANTENIMIENTO,6,ELECTIVA,0,7546-7548
7557,MODELOS DE PROCESO DE DESARROLLO,4,ELECTIVA,0,7546-7548
7558,EVALUACION DE PROYECTOS Y MANEJO DE RIESGOS,4,ELECTIVA,0,7546-7548
7562,TECNICAS DE PROGRAMACION CONCURRENTE II,4,ELECTIVA,0,7559
7563,SISTEMAS DISTRIBUIDOS II,4,ELECTIVA,0,7574
7564,SISTEMAS MULTIMEDIALES,4,ELECTIVA,0,6674-7574
7569,SISTEMAS AUTOMATICOS DE DIAGNOSTICO Y DETECCION DE FALLAS II,6,ELECTIVA,0,7567
7570,SISTEMAS DE PROGRAMACION NO CONVENCIONAL DE ROBOTS,6,ELECTIVA,0,7550
7571,SEMINARIO DE INGENIERIA EN INFORMATICA I,3,ELECTIVA,0,7507
7572,SEMINARIO DE INGENIERIA EN INFORMATICA II,3,ELECTIVA,0,7506-7544
7573,ARQUITECTURA DE SOFTWARE,4,ELECTIVA,0,7507-7509
7801,IDIOMA INGLES,4,ELECTIVA,0,28-3-24-40-5-27
7802,IDIOMA ALEMAN,4,ELECTIVA,0,28-3-24-40-5-27
7803,IDIOMA FRANCES,4,ELECTIVA,0,28-3-24-40-5-27
7804,IDIOMA ITALIANO,4,ELECTIVA,0,28-3-24-40-5-27
7805,IDIOMA PORTUGUES,4,ELECTIVA,0,28-3-24-40-5-27
